"","Selection","Breeding_year","Day","Month","Year","Country","Region","Site_name","Site_Code","Euring","Species","Sample_type","Sample_no","Total_flock","N_Adult","N_Juvenile","N_sampled","Perc-JV","Fam1","Fam2","Fam3","Fam4","Fam5","Fam6","Fam7","Fam8","Fam9","Fam10","Mean_Fam","Food_type","Observer","Remarks","time"
"56","X",2001,9,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,393,345,48,393,12.2137404580153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-09
"57","X",2001,9,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,320,239,81,320,25.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-09
"58","X",2001,13,12,2001,"NL","RG","Ooijpolder, oost van Oude Waal","RG1100",1590,"Kolgans","S",1,200,151,49,200,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-12-13
"59","X",2001,14,12,2001,"NL","RG","IJssel, Zutphen-De Hoven","RG2100",1590,"Kolgans","S",1,600,440,160,600,26.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippona, Jules",NA,2001-12-14
"60","X",2001,15,12,2001,"NL","RG","Maas","RG6312",1590,"Kolgans","S",1,72,61,11,72,15.2777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Cuijpers, Ton",NA,2001-12-15
"61","X",2001,15,12,2001,"NL","RG","Maas","RG6334",1590,"Kolgans","S",1,29,24,5,29,17.2413793103448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Cuijpers, Ton",NA,2001-12-15
"62","X",2001,16,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,256,207,49,256,19.140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-16
"63","X",2001,16,12,2001,"NRW","WES","Hetter - Bienen",NA,1590,"Kolgans","S",1,283,259,24,283,8.48056537102474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ernst, Harald",NA,2001-12-16
"64","X",2001,17,12,2001,"NL","ZL","Hulst","ZL5200",1590,"Kolgans","S",1,724,136,44,180,24.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wintergraan","Berrevoets, Cor",NA,2001-12-17
"65","X",2001,17,12,2001,"NL","FR","Slushoeke","FR7112",1590,"Kolgans","S",1,138,112,26,138,18.8405797101449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gras","Kleefstra, Romke",NA,2001-12-17
